dc_bias,time,voltage,current
-0.2,0.02,-0.2,-4.146119
-0.2,0.04,-0.2,-4.033322
-0.2,0.06,-0.2,-4.276303
-0.2,0.08,-0.2,-4.277772
-0.2,0.1,-0.2,-4.176141
-0.2,0.12,-0.2,-3.968526
-0.2,0.14,-0.2,-3.939159
-0.2,0.16,-0.2,-4.118975
-0.2,0.18,-0.2,-4.202444
-0.2,0.2,-0.2,-4.148503
-0.2,0.22,-0.2,-4.129278
-0.2,0.24,-0.2,-4.311275
-0.2,0.26,-0.2,-4.199058
-0.2,0.28,-0.2,-4.077426
-0.2,0.3,-0.2,-4.000941
-0.2,0.32,-0.2,-4.301431
-0.2,0.34,-0.2,-4.189682
-0.2,0.36,-0.2,-4.205812
-0.2,0.38,-0.2,-4.102897
-0.2,0.4,-0.2,-4.034374
-0.2,0.42,-0.2,-4.145967
-0.2,0.44,-0.2,-4.107116
-0.2,0.46,-0.2,-4.089268
-0.2,0.48,-0.2,-4.602198
-0.2,0.5,-0.2,-4.160345
-0.2,0.52,-0.2,-4.098593
-0.2,0.54,-0.2,-4.176766
-0.2,0.56,-0.2,-4.172563
-0.2,0.58,-0.2,-4.226526
-0.2,0.6,-0.2,-4.182049
-0.2,0.62,-0.2,-4.287719
-0.2,0.64,-0.2,-4.206358
-0.2,0.66,-0.2,-4.190979
-0.2,0.68,-0.2,-4.279163
-0.2,0.7000000000000001,-0.2,-4.21033
-0.2,0.72,-0.2,-4.128521
-0.2,0.74,-0.2,-4.083409
-0.2,0.76,-0.2,-4.155546
-0.2,0.78,-0.2,-4.198326
-0.2,0.8,-0.2,-4.115522
-0.2,0.8200000000000001,-0.2,-4.205238
-0.2,0.84,-0.2,-4.167705
-0.2,0.86,-0.2,-4.265755
-0.2,0.88,-0.2,-4.269321
-0.2,0.9,-0.2,-4.200578
-0.2,0.92,-0.2,-4.148446
-0.2,0.9400000000000001,-0.2,-3.95959
-0.2,0.96,-0.2,-4.029646
-0.2,0.98,-0.2,-4.295053
-0.2,1.0,-0.2,-4.128966
-0.2,1.02,-0.2,-4.396803
-0.2,1.04,-0.2,-4.166075
-0.2,1.06,-0.2,-4.144059
-0.2,1.08,-0.2,-4.094469
-0.2,1.1,-0.2,-4.2075
-0.2,1.12,-0.2,-4.400992
-0.2,1.1400000000000001,-0.2,-4.160224
-0.2,1.16,-0.2,-4.161985
-0.2,1.18,-0.2,-4.226268
-0.2,1.2,-0.2,-4.102799
-0.2,1.22,-0.2,-4.123798
-0.2,1.24,-0.2,-3.981643
-0.2,1.26,-0.2,-4.153998
-0.2,1.28,-0.2,-4.205958
-0.2,1.3,-0.2,-4.119394
-0.2,1.32,-0.2,-4.218871
-0.2,1.34,-0.2,-4.220024
-0.2,1.36,-0.2,-4.240544
-0.2,1.3800000000000001,-0.2,-4.214121
-0.2,1.4000000000000001,-0.2,-3.98153
-0.2,1.42,-0.2,-4.170005
-0.2,1.44,-0.2,-4.083605
-0.2,1.46,-0.2,-4.265073
-0.2,1.48,-0.2,-4.115673
-0.2,1.5,-0.2,-4.124711
-0.2,1.52,-0.2,-4.155973
-0.2,1.54,-0.2,-3.870874
-0.2,1.56,-0.2,-4.195399
-0.2,1.58,-0.2,-4.252999
-0.2,1.6,-0.2,-4.20562
-0.2,1.62,-0.2,-4.181173
-0.2,1.6400000000000001,-0.2,-4.147044
-0.2,1.6600000000000001,-0.2,-4.260911
-0.2,1.68,-0.2,-4.174491
-0.2,1.7,-0.2,-4.209807
-0.2,1.72,-0.2,-4.189085
-0.2,1.74,-0.2,-3.897205
-0.2,1.76,-0.2,-4.184379
-0.2,1.78,-0.2,-4.252009
-0.2,1.8,-0.2,-4.280312
-0.2,1.82,-0.2,-4.149872
-0.2,1.84,-0.2,-4.098053
-0.2,1.86,-0.2,-4.255881
-0.2,1.8800000000000001,-0.2,-4.155185
-0.2,1.9000000000000001,-0.2,-4.21426
-0.2,1.92,-0.2,-4.177058
-0.2,1.94,-0.2,-4.165661
-0.2,1.96,-0.2,-4.515621
-0.2,1.98,-0.2,-4.18265
-0.2,2.0,-0.2,-4.288702
-0.2,2.02,-0.2,-4.126261
-0.2,2.04,-0.2,-4.328084
-0.2,2.06,-0.2,-4.071767
-0.2,2.08,-0.2,-4.146737
-0.2,2.1,-0.2,-3.9886
-0.2,2.12,-0.2,-4.281147
-0.2,2.14,-0.2,-4.225484
-0.2,2.16,-0.2,-4.150692
-0.2,2.18,-0.2,-4.180802
-0.2,2.2,-0.2,-4.178217
-0.2,2.22,-0.2,-4.18081
-0.2,2.24,-0.2,-4.110975
-0.2,2.2600000000000002,-0.2,-4.149068
-0.2,2.2800000000000002,-0.2,-4.300455
-0.2,2.3000000000000003,-0.2,-4.359494
-0.2,2.32,-0.2,-4.232674
-0.2,2.34,-0.2,-4.158597
-0.2,2.36,-0.2,-4.091365
-0.2,2.38,-0.2,-4.164723
-0.2,2.4,-0.2,-4.435073
-0.2,2.42,-0.2,-4.215405
-0.2,2.44,-0.2,-4.187179
-0.2,2.46,-0.2,-4.111517
-0.2,2.48,-0.2,-4.18415
-0.2,2.5,-0.2,-4.282112
-0.2,2.52,-0.2,-4.19036
-0.2,2.54,-0.2,-4.28158
-0.2,2.56,-0.2,-4.223143
-0.2,2.58,-0.2,-4.38672
-0.2,2.6,-0.2,-4.318687
-0.2,2.62,-0.2,-4.224849
-0.2,2.64,-0.2,-4.174299
-0.2,2.66,-0.2,-4.442126
-0.2,2.68,-0.2,-4.618383
-0.2,2.7,-0.2,-4.207136
-0.2,2.72,-0.2,-4.453631
-0.2,2.74,-0.2,-4.133111
-0.2,2.7600000000000002,-0.2,-4.227077
-0.2,2.7800000000000002,-0.2,-4.149992
-0.2,2.8000000000000003,-0.2,-4.185541
-0.2,2.82,-0.2,-4.188545
-0.2,2.84,-0.2,-4.317614
-0.2,2.86,-0.2,-4.164927
-0.2,2.88,-0.2,-3.874258
-0.2,2.9,-0.2,-4.21473
-0.2,2.92,-0.2,-4.038184
-0.2,2.94,-0.2,-4.167588
-0.2,2.96,-0.2,-4.098098
-0.2,2.98,-0.2,-4.013304
-0.2,3.0,-0.2,-4.151994
0.04999999999999999,0.02,0.05,0.861365
0.04999999999999999,0.04,0.05,0.67055
0.04999999999999999,0.06,0.05,0.803437
0.04999999999999999,0.08,0.05,1.138477
0.04999999999999999,0.1,0.05,0.992665
0.04999999999999999,0.12,0.05,0.909093
0.04999999999999999,0.14,0.05,0.891628
0.04999999999999999,0.16,0.05,0.770851
0.04999999999999999,0.18,0.05,0.914363
0.04999999999999999,0.2,0.05,0.722909
0.04999999999999999,0.22,0.05,0.891813
0.04999999999999999,0.24,0.05,0.854992
0.04999999999999999,0.26,0.05,0.931749
0.04999999999999999,0.28,0.05,0.757106
0.04999999999999999,0.3,0.05,0.938267
0.04999999999999999,0.32,0.05,0.903446
0.04999999999999999,0.34,0.05,0.861515
0.04999999999999999,0.36,0.05,1.00111
0.04999999999999999,0.38,0.05,0.928919
0.04999999999999999,0.4,0.05,0.896254
0.04999999999999999,0.42,0.05,0.803414
0.04999999999999999,0.44,0.05,0.723241
0.04999999999999999,0.46,0.05,0.958133
0.04999999999999999,0.48,0.05,0.960673
0.04999999999999999,0.5,0.05,0.873475
0.04999999999999999,0.52,0.05,0.936758
0.04999999999999999,0.54,0.05,0.867571
0.04999999999999999,0.56,0.05,0.941342
0.04999999999999999,0.58,0.05,0.952447
0.04999999999999999,0.6,0.05,0.937034
0.04999999999999999,0.62,0.05,0.914149
0.04999999999999999,0.64,0.05,0.993851
0.04999999999999999,0.66,0.05,0.908377
0.04999999999999999,0.68,0.05,0.832935
0.04999999999999999,0.7000000000000001,0.05,0.769274
0.04999999999999999,0.72,0.05,0.861387
0.04999999999999999,0.74,0.05,1.136498
0.04999999999999999,0.76,0.05,0.830575
0.04999999999999999,0.78,0.05,0.775134
0.04999999999999999,0.8,0.05,0.872115
0.04999999999999999,0.8200000000000001,0.05,0.857748
0.04999999999999999,0.84,0.05,0.896694
0.04999999999999999,0.86,0.05,0.91829
0.04999999999999999,0.88,0.05,0.669485
0.04999999999999999,0.9,0.05,0.966457
0.04999999999999999,0.92,0.05,0.832466
0.04999999999999999,0.9400000000000001,0.05,0.851773
0.04999999999999999,0.96,0.05,0.93037
0.04999999999999999,0.98,0.05,0.95923
0.04999999999999999,1.0,0.05,0.848677
0.04999999999999999,1.02,0.05,0.834383
0.04999999999999999,1.04,0.05,0.876948
0.04999999999999999,1.06,0.05,0.930303
0.04999999999999999,1.08,0.05,0.996997
0.04999999999999999,1.1,0.05,0.955692
0.04999999999999999,1.12,0.05,0.807535
0.04999999999999999,1.1400000000000001,0.05,0.918365
0.04999999999999999,1.16,0.05,0.971176
0.04999999999999999,1.18,0.05,0.893024
0.04999999999999999,1.2,0.05,0.832712
0.04999999999999999,1.22,0.05,0.821717
0.04999999999999999,1.24,0.05,0.652189
0.04999999999999999,1.26,0.05,1.246428
0.04999999999999999,1.28,0.05,0.741813
0.04999999999999999,1.3,0.05,0.78435
0.04999999999999999,1.32,0.05,1.057851
0.04999999999999999,1.34,0.05,0.819023
0.04999999999999999,1.36,0.05,0.952923
0.04999999999999999,1.3800000000000001,0.05,0.835593
0.04999999999999999,1.4000000000000001,0.05,0.994356
0.04999999999999999,1.42,0.05,0.934501
0.04999999999999999,1.44,0.05,1.002737
0.04999999999999999,1.46,0.05,0.923019
0.04999999999999999,1.48,0.05,0.922623
0.04999999999999999,1.5,0.05,0.890619
0.04999999999999999,1.52,0.05,0.847278
0.04999999999999999,1.54,0.05,0.855234
0.04999999999999999,1.56,0.05,0.88774
0.04999999999999999,1.58,0.05,0.87983
0.04999999999999999,1.6,0.05,0.925644
0.04999999999999999,1.62,0.05,0.839264
0.04999999999999999,1.6400000000000001,0.05,0.882503
0.04999999999999999,1.6600000000000001,0.05,0.941156
0.04999999999999999,1.68,0.05,1.08554
0.04999999999999999,1.7,0.05,1.021041
0.04999999999999999,1.72,0.05,0.886395
0.04999999999999999,1.74,0.05,0.871533
0.04999999999999999,1.76,0.05,1.12829
0.04999999999999999,1.78,0.05,0.893111
0.04999999999999999,1.8,0.05,0.892337
0.04999999999999999,1.82,0.05,0.922311
0.04999999999999999,1.84,0.05,0.795495
0.04999999999999999,1.86,0.05,1.043464
0.04999999999999999,1.8800000000000001,0.05,0.929173
0.04999999999999999,1.9000000000000001,0.05,0.823894
0.04999999999999999,1.92,0.05,0.936224
0.04999999999999999,1.94,0.05,0.781397
0.04999999999999999,1.96,0.05,0.888088
0.04999999999999999,1.98,0.05,0.859316
0.04999999999999999,2.0,0.05,0.80819
0.04999999999999999,2.02,0.05,0.958711
0.04999999999999999,2.04,0.05,0.992518
0.04999999999999999,2.06,0.05,0.850567
0.04999999999999999,2.08,0.05,0.922472
0.04999999999999999,2.1,0.05,0.793842
0.04999999999999999,2.12,0.05,0.911235
0.04999999999999999,2.14,0.05,0.80489
0.04999999999999999,2.16,0.05,0.958101
0.04999999999999999,2.18,0.05,0.891664
0.04999999999999999,2.2,0.05,1.038156
0.04999999999999999,2.22,0.05,0.929338
0.04999999999999999,2.24,0.05,0.855273
0.04999999999999999,2.2600000000000002,0.05,0.595996
0.04999999999999999,2.2800000000000002,0.05,0.986733
0.04999999999999999,2.3000000000000003,0.05,0.8508
0.04999999999999999,2.32,0.05,0.877909
0.04999999999999999,2.34,0.05,0.943706
0.04999999999999999,2.36,0.05,0.885434
0.04999999999999999,2.38,0.05,0.988749
0.04999999999999999,2.4,0.05,0.996969
0.04999999999999999,2.42,0.05,1.05029
0.04999999999999999,2.44,0.05,0.782463
0.04999999999999999,2.46,0.05,0.855811
0.04999999999999999,2.48,0.05,0.949902
0.04999999999999999,2.5,0.05,0.856619
0.04999999999999999,2.52,0.05,0.901469
0.04999999999999999,2.54,0.05,0.874346
0.04999999999999999,2.56,0.05,0.774305
0.04999999999999999,2.58,0.05,0.883788
0.04999999999999999,2.6,0.05,0.842555
0.04999999999999999,2.62,0.05,0.814161
0.04999999999999999,2.64,0.05,0.838998
0.04999999999999999,2.66,0.05,0.907512
0.04999999999999999,2.68,0.05,0.749635
0.04999999999999999,2.7,0.05,0.925452
0.04999999999999999,2.72,0.05,0.876277
0.04999999999999999,2.74,0.05,0.882459
0.04999999999999999,2.7600000000000002,0.05,0.902908
0.04999999999999999,2.7800000000000002,0.05,0.908719
0.04999999999999999,2.8000000000000003,0.05,0.749662
0.04999999999999999,2.82,0.05,0.945783
0.04999999999999999,2.84,0.05,0.929151
0.04999999999999999,2.86,0.05,0.939544
0.04999999999999999,2.88,0.05,0.855274
0.04999999999999999,2.9,0.05,0.867881
0.04999999999999999,2.92,0.05,1.072944
0.04999999999999999,2.94,0.05,0.943522
0.04999999999999999,2.96,0.05,0.957586
0.04999999999999999,2.98,0.05,1.006027
0.04999999999999999,3.0,0.05,1.142701
0.3,0.02,0.3,5.913901
0.3,0.04,0.3,5.820313
0.3,0.06,0.3,5.811825
0.3,0.08,0.3,5.787711
0.3,0.1,0.3,5.913985
0.3,0.12,0.3,5.886727
0.3,0.14,0.3,5.710728
0.3,0.16,0.3,5.834501
0.3,0.18,0.3,5.937545
0.3,0.2,0.3,5.806625
0.3,0.22,0.3,5.857158
0.3,0.24,0.3,5.789123
0.3,0.26,0.3,5.819292
0.3,0.28,0.3,5.794867
0.3,0.3,0.3,5.887487
0.3,0.32,0.3,5.893296
0.3,0.34,0.3,5.909922
0.3,0.36,0.3,5.681387
0.3,0.38,0.3,5.826422
0.3,0.4,0.3,5.93914
