dc_bias,time,voltage,current
0.3,0.42,0.3,5.791109
0.3,0.44,0.3,5.830308
0.3,0.46,0.3,5.813656
0.3,0.48,0.3,5.836743
0.3,0.5,0.3,5.854466
0.3,0.52,0.3,5.846884
0.3,0.54,0.3,5.825088
0.3,0.56,0.3,5.682554
0.3,0.58,0.3,5.874535
0.3,0.6,0.3,5.892871
0.3,0.62,0.3,5.804777
0.3,0.64,0.3,5.885131
0.3,0.66,0.3,5.867626
0.3,0.68,0.3,5.886744
0.3,0.7000000000000001,0.3,5.764363
0.3,0.72,0.3,5.785717
0.3,0.74,0.3,5.807214
0.3,0.76,0.3,5.844703
0.3,0.78,0.3,5.949827
0.3,0.8,0.3,5.639872
0.3,0.8200000000000001,0.3,5.712564
0.3,0.84,0.3,5.885539
0.3,0.86,0.3,5.740407
0.3,0.88,0.3,5.874762
0.3,0.9,0.3,5.836887
0.3,0.92,0.3,5.778903
0.3,0.9400000000000001,0.3,5.842419
0.3,0.96,0.3,5.795392
0.3,0.98,0.3,6.001303
0.3,1.0,0.3,5.763297
0.3,1.02,0.3,5.860058
0.3,1.04,0.3,5.957348
0.3,1.06,0.3,5.852912
0.3,1.08,0.3,5.739239
0.3,1.1,0.3,5.889111
0.3,1.12,0.3,5.818867
0.3,1.1400000000000001,0.3,6.020487
0.3,1.16,0.3,6.093869
0.3,1.18,0.3,5.814682
0.3,1.2,0.3,5.884979
0.3,1.22,0.3,6.013708
0.3,1.24,0.3,5.888398
0.3,1.26,0.3,5.841026
0.3,1.28,0.3,5.760306
0.3,1.3,0.3,5.897937
0.3,1.32,0.3,5.834094
0.3,1.34,0.3,6.186441
0.3,1.36,0.3,5.758452
0.3,1.3800000000000001,0.3,5.80957
0.3,1.4000000000000001,0.3,5.917695
0.3,1.42,0.3,5.793113
0.3,1.44,0.3,5.886758
0.3,1.46,0.3,5.790568
0.3,1.48,0.3,5.804655
0.3,1.5,0.3,5.670425
0.3,1.52,0.3,5.979577
0.3,1.54,0.3,5.847804
0.3,1.56,0.3,5.834757
0.3,1.58,0.3,5.658244
0.3,1.6,0.3,5.90074
0.3,1.62,0.3,5.909999
0.3,1.6400000000000001,0.3,5.921423
0.3,1.6600000000000001,0.3,5.87599
0.3,1.68,0.3,5.778483
0.3,1.7,0.3,5.665096
0.3,1.72,0.3,5.913861
0.3,1.74,0.3,5.852754
0.3,1.76,0.3,5.821658
0.3,1.78,0.3,5.752671
0.3,1.8,0.3,6.107028
0.3,1.82,0.3,5.860393
0.3,1.84,0.3,5.853222
0.3,1.86,0.3,5.835524
0.3,1.8800000000000001,0.3,5.902539
0.3,1.9000000000000001,0.3,5.802315
0.3,1.92,0.3,5.849588
0.3,1.94,0.3,6.113567
0.3,1.96,0.3,5.770899
0.3,1.98,0.3,5.80439
0.3,2.0,0.3,5.733991
0.3,2.02,0.3,5.760107
0.3,2.04,0.3,5.898987
0.3,2.06,0.3,5.814279
0.3,2.08,0.3,5.881912
0.3,2.1,0.3,5.836441
0.3,2.12,0.3,5.885235
0.3,2.14,0.3,5.820851
0.3,2.16,0.3,6.008502
0.3,2.18,0.3,5.819695
0.3,2.2,0.3,5.760237
0.3,2.22,0.3,5.884786
0.3,2.24,0.3,5.959676
0.3,2.2600000000000002,0.3,5.861104
0.3,2.2800000000000002,0.3,5.749767
0.3,2.3000000000000003,0.3,5.837816
0.3,2.32,0.3,5.785334
0.3,2.34,0.3,5.639075
0.3,2.36,0.3,5.850467
0.3,2.38,0.3,5.770282
0.3,2.4,0.3,5.830635
0.3,2.42,0.3,5.838123
0.3,2.44,0.3,5.873978
0.3,2.46,0.3,5.844246
0.3,2.48,0.3,5.855354
0.3,2.5,0.3,5.823579
0.3,2.52,0.3,5.833405
0.3,2.54,0.3,6.036338
0.3,2.56,0.3,5.870557
0.3,2.58,0.3,5.950605
0.3,2.6,0.3,5.828459
0.3,2.62,0.3,5.813813
0.3,2.64,0.3,5.917579
0.3,2.66,0.3,5.913952
0.3,2.68,0.3,5.78412
0.3,2.7,0.3,5.848102
0.3,2.72,0.3,5.735158
0.3,2.74,0.3,5.825533
0.3,2.7600000000000002,0.3,5.834537
0.3,2.7800000000000002,0.3,5.884334
0.3,2.8000000000000003,0.3,5.703671
0.3,2.82,0.3,5.792827
0.3,2.84,0.3,5.823307
0.3,2.86,0.3,5.79992
0.3,2.88,0.3,5.804304
0.3,2.9,0.3,5.81318
0.3,2.92,0.3,5.866825
0.3,2.94,0.3,5.920168
0.3,2.96,0.3,5.826872
0.3,2.98,0.3,5.834221
0.3,3.0,0.3,6.013442
0.55,0.02,0.55,10.82485
0.55,0.04,0.55,10.8103
0.55,0.06,0.55,10.76374
0.55,0.08,0.55,10.88457
0.55,0.1,0.55,10.78003
0.55,0.12,0.55,10.75544
0.55,0.14,0.55,10.82588
0.55,0.16,0.55,10.70891
0.55,0.18,0.55,10.74981
0.55,0.2,0.55,10.80093
0.55,0.22,0.55,10.68762
0.55,0.24,0.55,11.01062
0.55,0.26,0.55,10.91308
0.55,0.28,0.55,10.72646
0.55,0.3,0.55,10.66319
0.55,0.32,0.55,10.73241
0.55,0.34,0.55,10.7617
0.55,0.36,0.55,10.97615
0.55,0.38,0.55,10.87485
0.55,0.4,0.55,10.73091
0.55,0.42,0.55,10.72503
0.55,0.44,0.55,10.77415
0.55,0.46,0.55,10.78196
0.55,0.48,0.55,10.69918
0.55,0.5,0.55,10.72467
0.55,0.52,0.55,10.81021
0.55,0.54,0.55,10.76684
0.55,0.56,0.55,10.84055
0.55,0.58,0.55,10.83338
0.55,0.6,0.55,10.69474
0.55,0.62,0.55,10.78328
0.55,0.64,0.55,10.89063
0.55,0.66,0.55,10.80773
0.55,0.68,0.55,10.72971
0.55,0.7000000000000001,0.55,10.84264
0.55,0.72,0.55,10.76488
0.55,0.74,0.55,10.71333
0.55,0.76,0.55,10.63864
0.55,0.78,0.55,10.79238
0.55,0.8,0.55,10.68273
0.55,0.8200000000000001,0.55,10.76946
0.55,0.84,0.55,10.76998
0.55,0.86,0.55,10.86786
0.55,0.88,0.55,10.82607
0.55,0.9,0.55,10.78718
0.55,0.92,0.55,10.8657
0.55,0.9400000000000001,0.55,10.65832
0.55,0.96,0.55,10.78441
0.55,0.98,0.55,10.81449
0.55,1.0,0.55,10.85595
0.55,1.02,0.55,10.79001
0.55,1.04,0.55,10.98932
0.55,1.06,0.55,10.72104
0.55,1.08,0.55,11.05194
0.55,1.1,0.55,10.68028
0.55,1.12,0.55,10.78625
0.55,1.1400000000000001,0.55,10.75632
0.55,1.16,0.55,10.69578
0.55,1.18,0.55,10.77242
0.55,1.2,0.55,10.70191
0.55,1.22,0.55,10.80363
0.55,1.24,0.55,10.76509
0.55,1.26,0.55,10.79286
0.55,1.28,0.55,10.89876
0.55,1.3,0.55,10.89675
0.55,1.32,0.55,10.81112
0.55,1.34,0.55,10.79459
0.55,1.36,0.55,10.94838
0.55,1.3800000000000001,0.55,10.77962
0.55,1.4000000000000001,0.55,10.7475
0.55,1.42,0.55,10.70593
0.55,1.44,0.55,10.74543
0.55,1.46,0.55,10.76228
0.55,1.48,0.55,10.7641
0.55,1.5,0.55,10.67963
0.55,1.52,0.55,10.73012
0.55,1.54,0.55,10.92816
0.55,1.56,0.55,10.9462
0.55,1.58,0.55,10.91049
0.55,1.6,0.55,10.80775
0.55,1.62,0.55,10.86801
0.55,1.6400000000000001,0.55,10.75825
0.55,1.6600000000000001,0.55,10.76561
0.55,1.68,0.55,10.57304
0.55,1.7,0.55,10.7309
0.55,1.72,0.55,10.73454
0.55,1.74,0.55,10.79023
0.55,1.76,0.55,10.93657
0.55,1.78,0.55,10.71861
0.55,1.8,0.55,10.7829
0.55,1.82,0.55,10.82411
0.55,1.84,0.55,10.7294
0.55,1.86,0.55,10.75032
0.55,1.8800000000000001,0.55,10.76932
0.55,1.9000000000000001,0.55,10.68962
0.55,1.92,0.55,10.87662
0.55,1.94,0.55,10.7836
0.55,1.96,0.55,10.82122
0.55,1.98,0.55,10.85003
0.55,2.0,0.55,10.78778
0.55,2.02,0.55,10.71022
0.55,2.04,0.55,10.60897
0.55,2.06,0.55,10.64007
0.55,2.08,0.55,10.74769
0.55,2.1,0.55,10.98311
0.55,2.12,0.55,10.70515
0.55,2.14,0.55,10.37091
0.55,2.16,0.55,10.9245
0.55,2.18,0.55,10.81624
0.55,2.2,0.55,10.82922
0.55,2.22,0.55,10.84111
0.55,2.24,0.55,10.75109
0.55,2.2600000000000002,0.55,10.80879
0.55,2.2800000000000002,0.55,10.79246
0.55,2.3000000000000003,0.55,10.74173
0.55,2.32,0.55,10.71718
0.55,2.34,0.55,10.70899
0.55,2.36,0.55,10.75599
0.55,2.38,0.55,10.76814
0.55,2.4,0.55,10.75928
0.55,2.42,0.55,10.76758
0.55,2.44,0.55,10.81688
0.55,2.46,0.55,10.78749
0.55,2.48,0.55,10.78891
0.55,2.5,0.55,10.81037
0.55,2.52,0.55,10.74401
0.55,2.54,0.55,10.7995
0.55,2.56,0.55,10.75031
0.55,2.58,0.55,10.79882
0.55,2.6,0.55,10.76865
0.55,2.62,0.55,10.76612
0.55,2.64,0.55,11.00401
0.55,2.66,0.55,10.79777
0.55,2.68,0.55,10.8728
0.55,2.7,0.55,10.74848
0.55,2.72,0.55,10.65706
0.55,2.74,0.55,10.76199
0.55,2.7600000000000002,0.55,10.80911
0.55,2.7800000000000002,0.55,10.76331
0.55,2.8000000000000003,0.55,11.00714
0.55,2.82,0.55,10.75983
0.55,2.84,0.55,10.75413
0.55,2.86,0.55,10.85562
0.55,2.88,0.55,10.69218
0.55,2.9,0.55,10.84451
0.55,2.92,0.55,10.87322
0.55,2.94,0.55,10.82574
0.55,2.96,0.55,10.80706
0.55,2.98,0.55,10.75874
0.55,3.0,0.55,10.74284
0.8,0.02,0.8,15.63458
0.8,0.04,0.8,15.7048
0.8,0.06,0.8,15.91693
0.8,0.08,0.8,15.77296
0.8,0.1,0.8,15.76666
0.8,0.12,0.8,15.73966
0.8,0.14,0.8,15.81432
0.8,0.16,0.8,15.83949
0.8,0.18,0.8,15.81898
0.8,0.2,0.8,15.71277
0.8,0.22,0.8,15.77465
0.8,0.24,0.8,15.68584
0.8,0.26,0.8,15.74179
0.8,0.28,0.8,15.78463
0.8,0.3,0.8,15.65535
0.8,0.32,0.8,15.82205
0.8,0.34,0.8,15.6847
0.8,0.36,0.8,15.75759
0.8,0.38,0.8,15.82876
0.8,0.4,0.8,15.95309
0.8,0.42,0.8,15.79422
0.8,0.44,0.8,15.93497
0.8,0.46,0.8,15.77146
0.8,0.48,0.8,15.77506
0.8,0.5,0.8,15.77584
0.8,0.52,0.8,15.80266
0.8,0.54,0.8,15.64287
0.8,0.56,0.8,15.73352
0.8,0.58,0.8,15.812
0.8,0.6,0.8,15.93263
0.8,0.62,0.8,15.64186
0.8,0.64,0.8,15.45578
0.8,0.66,0.8,15.7435
0.8,0.68,0.8,15.82216
0.8,0.7000000000000001,0.8,15.75163
0.8,0.72,0.8,15.65648
0.8,0.74,0.8,15.76397
0.8,0.76,0.8,15.78399
0.8,0.78,0.8,15.76853
0.8,0.8,0.8,15.73109
0.8,0.8200000000000001,0.8,15.93083
0.8,0.84,0.8,15.78169
0.8,0.86,0.8,15.75272
0.8,0.88,0.8,15.70436
0.8,0.9,0.8,15.75004
0.8,0.92,0.8,15.70768
0.8,0.9400000000000001,0.8,15.64166
0.8,0.96,0.8,15.76348
0.8,0.98,0.8,15.7136
0.8,1.0,0.8,15.77433
0.8,1.02,0.8,15.58842
0.8,1.04,0.8,15.67041
0.8,1.06,0.8,15.72026
0.8,1.08,0.8,15.77145
0.8,1.1,0.8,15.74962
0.8,1.12,0.8,15.80139
0.8,1.1400000000000001,0.8,15.73554
0.8,1.16,0.8,15.83631
0.8,1.18,0.8,15.81861
0.8,1.2,0.8,15.73439
0.8,1.22,0.8,15.7472
0.8,1.24,0.8,15.69428
0.8,1.26,0.8,15.73984
0.8,1.28,0.8,15.95014
0.8,1.3,0.8,15.73659
0.8,1.32,0.8,15.8546
0.8,1.34,0.8,15.64252
0.8,1.36,0.8,15.73307
0.8,1.3800000000000001,0.8,15.65939
0.8,1.4000000000000001,0.8,15.75987
0.8,1.42,0.8,15.71353
0.8,1.44,0.8,15.7903
0.8,1.46,0.8,15.68779
0.8,1.48,0.8,15.72856
0.8,1.5,0.8,15.77184
0.8,1.52,0.8,15.76195
0.8,1.54,0.8,15.7107
0.8,1.56,0.8,15.67023
0.8,1.58,0.8,15.75797
0.8,1.6,0.8,15.75768
0.8,1.62,0.8,15.77501
0.8,1.6400000000000001,0.8,15.72863
0.8,1.6600000000000001,0.8,15.69768
0.8,1.68,0.8,15.7701
0.8,1.7,0.8,15.85835
0.8,1.72,0.8,15.84605
0.8,1.74,0.8,15.79356
0.8,1.76,0.8,15.74338
0.8,1.78,0.8,15.80466
0.8,1.8,0.8,15.74393
0.8,1.82,0.8,15.71968
0.8,1.84,0.8,15.76658
0.8,1.86,0.8,15.65693
0.8,1.8800000000000001,0.8,15.68758
0.8,1.9000000000000001,0.8,15.92132
0.8,1.92,0.8,15.84145
0.8,1.94,0.8,15.73511
0.8,1.96,0.8,15.73822
0.8,1.98,0.8,15.75937
0.8,2.0,0.8,15.79335
0.8,2.02,0.8,15.77368
0.8,2.04,0.8,15.74284
0.8,2.06,0.8,15.68755
0.8,2.08,0.8,15.67299
0.8,2.1,0.8,15.69299
0.8,2.12,0.8,15.63823
0.8,2.14,0.8,15.66697
0.8,2.16,0.8,15.6997
0.8,2.18,0.8,15.77854
0.8,2.2,0.8,15.86998
0.8,2.22,0.8,15.75882
0.8,2.24,0.8,15.82121
0.8,2.2600000000000002,0.8,15.60013
0.8,2.2800000000000002,0.8,15.74532
0.8,2.3000000000000003,0.8,15.74062
0.8,2.32,0.8,15.75601
0.8,2.34,0.8,15.75418
0.8,2.36,0.8,15.65725
0.8,2.38,0.8,15.69074
0.8,2.4,0.8,15.74626
0.8,2.42,0.8,15.77511
0.8,2.44,0.8,15.77119
0.8,2.46,0.8,15.69675
0.8,2.48,0.8,15.73468
0.8,2.5,0.8,15.73612
0.8,2.52,0.8,15.77192
0.8,2.54,0.8,15.89459
0.8,2.56,0.8,15.70152
0.8,2.58,0.8,15.74982
0.8,2.6,0.8,15.73599
0.8,2.62,0.8,15.8059
0.8,2.64,0.8,15.7978
0.8,2.66,0.8,15.72528
0.8,2.68,0.8,15.74529
0.8,2.7,0.8,15.77163
0.8,2.72,0.8,15.73941
0.8,2.74,0.8,15.9645
0.8,2.7600000000000002,0.8,15.69092
0.8,2.7800000000000002,0.8,15.75268
0.8,2.8000000000000003,0.8,15.69492
0.8,2.82,0.8,15.85037
0.8,2.84,0.8,15.65973
0.8,2.86,0.8,15.75577
0.8,2.88,0.8,15.74827
0.8,2.9,0.8,15.81532
0.8,2.92,0.8,15.73781
0.8,2.94,0.8,15.77514
0.8,2.96,0.8,15.76795
0.8,2.98,0.8,15.69078
0.8,3.0,0.8,15.74005
